property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
used_in_cooking,"('lr', '0')",0.9484768432136852,"('lr', '0')",0.16594900203231844,0.9484768432136852,0.9484768432136852,0.9484768432136852,0.9484768432136852,0.9484768432136852,0.16594900203231844,0.15515365937194048,0.1529630518599574,0.15654504920326795,0.14973451050487796,0.8127171709379803,0.848896290424431,0.8498077335206934,0.8500681772665124,0.8499681485942138,0.7825278411813668,0.8681318681318682,0.625,0.1357596722757048,0.17942583732057418,0.1032863849765258,0.6083855415008308,0.7933231838417447,0.8628122304389739,0.676936087954573,0.09958055278925412,0.13585257335257336,0.05524657026325548,0.5882223573774946,0.7955137913537278,0.8473197801552403,0.7004335650334835,0.09866910969299184,0.13443712922879592,0.057530589543937714,0.5895090171765175,0.7919317940104172,0.8644323406123547,0.6818297363816106,0.09840866594717282,0.131606240981241,0.05524657026325548,0.5941823178198229,0.7987423327088072,0.8508230300959075,0.7006225229549686,0.09850869461947144,0.13585257335257336,0.0563885799035966,0.5880324456030682,"('mlp', '100--300-mean')",0.8500681772665124,0.5333333333333333
sweet,"('lr', '0')",0.8355538417044249,"('lr', '0')",0.11986725861421332,0.8355538417044249,0.7863497897672275,0.7827493775724507,0.7986079666812786,0.7899813308150649,0.11986725861421332,0.04992195679672207,0.043470483987354425,0.058814531416403804,0.04997629207540388,0.6447729071695849,0.6160784156616466,0.6133446957204594,0.6282509363553007,0.6209972233975122,0.7156865830902116,0.7953566836150862,0.6558398220244717,0.19078093453484005,0.2180357697599077,0.14854111405835546,0.5346312503577224,0.7364278329705054,0.7997426818505642,0.6785889065562387,0.17027137410558096,0.25645821218342124,0.11619807858684385,0.5083918262403349,0.7392788935850962,0.7872541844579232,0.68378830908601,0.16940468185199128,0.2549570900286592,0.11702424640411288,0.5156826807559777,0.7397934352648748,0.7947632566695375,0.6886811736358016,0.17035703032597793,0.2566366237042051,0.11410846651391696,0.5330153253730304,0.7400050387396611,0.7854380104780438,0.6727380151749323,0.16898410741755276,0.254337774963216,0.11619807858684385,0.5262457286234741,"('lr', '0')",0.6447729071695849,0.4332833583208397
ceiling-sweet,"('lr', '0')",0.9094695654917802,"('lr', '0')",0.10064427974216861,0.9094695654917802,0.8525529542920847,0.8740559877544781,0.8559960566442779,0.8648225282622516,0.10064427974216861,0.0430014552741278,0.06755711782293883,0.049414942501213366,0.05946734832280798,0.7443498525398106,0.6992559340444375,0.7191779114913741,0.7019088115221044,0.7110362406604616,0.8088252857496115,0.8957806810880273,0.6998934428930804,0.16511971295196962,0.2086541947248739,0.12170385395537525,0.5267521676035982,0.8095514990179569,0.9288184782988445,0.7118568579816158,0.15329702024764713,0.25000256950511324,0.08845218967577143,0.5290030029940762,0.8064988699315393,0.9186137022674072,0.7001907979366208,0.15487807626310396,0.2483956485650225,0.08845218967577143,0.5135682131488817,0.8065811141430645,0.9288184782988445,0.7060682818784455,0.15408724512217348,0.25000256950511324,0.08845218967577143,0.5202046628471618,0.8053551799394436,0.9169188050351724,0.6932179447361091,0.15378628760179006,0.25000256950511324,0.08845218967577143,0.5269286083848543,"('lr', '0')",0.7443498525398106,0.4332833583208397
female,"('mlp', '50-50-300-mean')",0.8986863867936012,"('mlp', '50-50-300-mean')",0.07543080762879961,0.8339903300292141,0.8870721847827646,0.8986863867936012,0.891878566025057,0.8928520983926918,0.061779918082976004,0.06900731343812494,0.07543080762879961,0.07009553552464598,0.06806648584039832,0.6158192752531688,0.6851700267110975,0.6957764159863364,0.6887416470830718,0.6913807107956729,0.7722104119462381,0.8620735965619124,0.6936026936026934,0.2181710547760453,0.2563520871143376,0.19841269841269848,0.5088404643737935,0.8180648713446397,0.8874960599375804,0.7141137270503141,0.20190215807166711,0.233598123650444,0.18297733966387664,0.4900567854483308,0.8232555791648016,0.8893258920722543,0.7348918813219899,0.2029099708072648,0.2364893524083445,0.18903322117253235,0.4901776310743386,0.821783030500411,0.8854085541611212,0.7427200570286272,0.2031369189419852,0.2355252335701043,0.1868735762063589,0.4982392931443889,0.8247856125522934,0.8894102375513366,0.7305592286639023,0.20147138759701883,0.2327817481446366,0.18461403580241406,0.4927663202294735,"('mlp', '50-50-300-mean')",0.6957764159863364,0.4298245614035087
wings,"('mlp', '100-100-300-mean')",0.8508791916354586,"('mlp', '100-100-300-mean')",0.03878545283188006,0.7895040369088813,0.8255602588429912,0.8373569031606085,0.8234468377921887,0.8508791916354586,-0.010564647950602968,0.024493407011926926,0.029059849974535257,0.02156829849446018,0.03878545283188006,0.5546687308155638,0.5873167230957632,0.5992858117526556,0.5852058170940716,0.6144240684534739,0.8000686848594842,0.9210084033613446,0.6445378151260504,0.23483530609331743,0.3224541429475016,0.19607843137254904,0.476499085959146,0.8010668518310643,0.9021901158124066,0.5855448171358585,0.23824353574722806,0.2962514762872819,0.1176470588235294,0.5022638429794016,0.8082970531860733,0.904127966976264,0.5965618522418373,0.2380710914079529,0.29602769892795466,0.1176470588235294,0.5005769990102391,0.8018785392977286,0.9021901158124066,0.5775950819119836,0.23824102069811715,0.296246904558925,0.1176470588235294,0.5040826201882933,0.8120937388035785,0.9021901158124066,0.5971265051201364,0.23645512318198475,0.2951563912075421,0.1176470588235294,0.5089650609264347,"('mlp', '100-100-300-mean')",0.6144240684534739,0.4122549019607843
ceiling-wings,"('mlp', '50--300-mean')",0.9803303268489107,"('mlp', '100--300-mean')",0.1804759053733146,0.9404708704753392,0.9803303268489107,0.9763651018152629,0.9803303268489107,0.9684346517479676,0.16825074816660834,0.1791423034966394,0.16589615252488155,0.1804759053733146,0.15396986355671105,0.7175790214488873,0.7589992948607791,0.7553492848913832,0.759051799309542,0.7490833400221707,0.7722201223087308,0.8785797213622292,0.7166860165118679,0.22289184902645184,0.2738412620765562,0.1858220211161388,0.4813347814614796,0.8011880233522714,0.8701518358151763,0.7070745555960403,0.22133103198813164,0.28359934202063136,0.17009446885405965,0.5163624051284751,0.8104689492903814,0.8855129230761554,0.7062872310562813,0.22101581692387975,0.28479893980846444,0.1731025641025641,0.5072764985304967,0.7998544214755962,0.8624742373812422,0.7022971975564857,0.22127852753936877,0.28466588285258365,0.16729540734911574,0.5159025499327516,0.8144647881912566,0.8836945751891614,0.7215207772211791,0.21935131172579694,0.2850262833657313,0.17035970300420428,0.5230634537217671,"('mlp', '100--300-mean')",0.759051799309542,0.4122549019607843
wheels,"('mlp', '50--300-mean')",0.8409609044820519,"('lr', '0')",0.1686578566321595,0.7835714285714286,0.8409609044820519,0.8408766166040886,0.8379132770129329,0.8349499374217773,0.1686578566321595,0.09613890070030617,0.09907830605182544,0.08924776391718947,0.09333365856921905,0.6830857460787916,0.7590481027749485,0.7603199962621052,0.7574291284750013,0.7534006163774967,0.6149135719392691,0.697522816166884,0.6057347670250895,0.10048568249263704,0.1207729468599034,0.06775067750677506,0.5591187638357449,0.7448220037817457,0.903243588067468,0.6139705660921325,0.0819128017071034,0.16175916175916175,0.015015015015015013,0.5767072841782128,0.7417983105522632,0.9061380791972532,0.6198017163475961,0.08055662034198335,0.14783146783146786,0.017417417417417418,0.5743773810632213,0.7486655130957435,0.9149393090569562,0.6192233547347515,0.08048414853793166,0.164983164983165,0.015015015015015013,0.5748296657043725,0.7416162788525582,0.906020322726906,0.6191768226372666,0.08154932104428064,0.14834730834730836,0.015015015015015013,0.5774836442755402,"('mlp', '50-50-300-mean')",0.7603199962621052,0.6057347670250895
ceiling-wheels,"('mlp', '50-50-300-mean')",0.9651973684210526,"('mlp', '50-50-300-mean')",0.12714056897646153,0.6275728987993139,0.9584083396898044,0.9651973684210526,0.9649860157640476,0.9649860157640476,-0.002335919686976884,0.11906541228634082,0.12714056897646153,0.1246739390800925,0.12541059385394548,0.5288682442807059,0.8871444996001224,0.8963604736751116,0.8943886243408142,0.8944788592019469,0.6299088184862908,0.6661698956780925,0.6057347670250895,0.09870465451860798,0.1111111111111111,0.07936507936507936,0.5460495777088451,0.8393429274034636,0.9152598477325388,0.7776740702330539,0.07126384008968205,0.12758472758472764,0.015015015015015013,0.5724919368423579,0.8380567994445911,0.9089982717531055,0.7793024227234754,0.06883689474594103,0.11685127685127687,0.015015015015015013,0.5764935025125647,0.8403120766839551,0.9152598477325388,0.7696693841884403,0.07059739142323337,0.12490136490136493,0.015015015015015013,0.5771820213463111,0.8395754219101021,0.9152598477325388,0.7793332762375951,0.07050715656210069,0.12490136490136493,0.015015015015015013,0.5724505158667974,"('mlp', '50-50-300-mean')",0.8963604736751116,0.6057347670250895
lay_eggs,"('mlp', '50--300-mean')",0.9294010889292196,"('mlp', '50--300-mean')",0.1818796880332807,0.7690886699507389,0.9294010889292196,0.9223058865890084,0.9294010889292196,0.9219935781097308,0.14317909894460845,0.1818796880332807,0.1656704805705702,0.18174215868040844,0.15663920190003944,0.575149276011345,0.7492485927560142,0.7475414874121774,0.7527288965684713,0.7449101958166472,0.6259095710061304,0.7323232323232324,0.4949494949494949,0.1939393939393939,0.19393939393939394,0.19393939393939394,0.5146899051229444,0.7475214008959389,0.8440757422557221,0.6606306072730755,0.18015249617320542,0.24346024346024345,0.13611141887003958,0.5427269868565311,0.7566354060184382,0.8443821429665717,0.662822241139146,0.17476439917683098,0.21214187337840204,0.1330835054972986,0.5254487996919679,0.7476589302488111,0.8469528449306003,0.6714289136423524,0.17667219236074833,0.24346024346024345,0.13611141887003958,0.5388593117501754,0.7653543762096914,0.8468460225009541,0.6807488182974288,0.17708338229308365,0.21384491569857414,0.13611141887003958,0.5221922396772513,"('mlp', '100--300-mean')",0.7527288965684713,0.4949494949494949
ceiling-lay_eggs,"('mlp', '50--300-mean')",0.9215125840441124,"('mlp', '50--300-mean')",0.10522388866377619,0.7690886699507389,0.9215125840441124,0.9110758276324022,0.9215125840441124,0.8937276949760413,0.0948704662158868,0.10522388866377619,0.08378141606133327,0.10292455788004495,0.06187685562216427,0.575149276011345,0.7576062043210446,0.7487096403012289,0.7585933819131003,0.7329661135652633,0.6742182037348521,0.7992424242424243,0.4949494949494949,0.1939393939393939,0.19393939393939394,0.19393939393939394,0.5391287421578441,0.8162886953803362,0.8934797928731195,0.7245151208750805,0.16390637972306776,0.2248803827751196,0.11188811188811187,0.5277292465582482,0.827294411571069,0.8961426935965037,0.7465740036638098,0.1623661873311734,0.21269046742730952,0.11188811188811187,0.5321027707149948,0.8185880261640675,0.8993565585072156,0.7245151208750805,0.16291920213101213,0.2248803827751196,0.11188811188811187,0.5243906673438186,0.831850839353877,0.8990810764135515,0.7659501346770398,0.16076158141077798,0.2105543237250554,0.11188811188811187,0.5276240048426737,"('mlp', '100--300-mean')",0.7585933819131003,0.4949494949494949
