property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
square,"('lr', '0')",0.975442397977609,"('lr', '0')",0.1770222771095078,0.975442397977609,0.926884679446902,0.9462246560475644,0.933767067212948,0.9547605364629248,0.1770222771095078,0.11001726217865926,0.1262636238489273,0.11941430359943261,0.1307425013118484,0.9347794377631186,0.8806687451242348,0.8989769762296004,0.8897360107020544,0.9103843237353357,0.7984201208681012,0.8939870102660802,0.7068543451652387,0.040662960214490465,0.07305358948432761,0.0165374677002584,0.75518341307815,0.8168674172682427,0.8784844677644934,0.7323362875504859,0.046215934322667275,0.07902074332812452,0.016537467700258403,0.7531701037735644,0.8199610321986371,0.8888773808334178,0.7514965966985551,0.04724767981796411,0.07603716640622607,0.016537467700258403,0.7577327050620128,0.8143527636135154,0.8835767313467218,0.7211470699842792,0.044031056510893604,0.07603716640622607,0.016537467700258403,0.7573794897506143,0.8240180351510764,0.8784844677644932,0.7405852708423089,0.044376212727589015,0.07305358948432761,0.016537467700258403,0.7518758480903399,"('lr', '0')",0.9347794377631186,0.7304710793082886
ceiling-square,"('mlp', '50-50-300-mean')",0.9622582360258416,"('mlp', '50-50-300-mean')",0.1591923336874137,0.9202988792029888,0.9459558674902104,0.9622582360258416,0.9485926998805642,0.9541070517580262,0.13397466061272845,0.15023550720859413,0.1591923336874137,0.15483752992863864,0.15383465488654813,0.8749610811326759,0.8961267566233373,0.9138975615989664,0.9013398860646606,0.9096162648146455,0.7863242185902604,0.8579730771511594,0.7243107769423559,0.04533779807031292,0.09239026260302856,0.017316017316017313,0.7555303030303031,0.7957203602816163,0.8423812800525129,0.7553749508270057,0.04982911086687315,0.11546636653019628,0.017316017316017313,0.7574833688476442,0.8030659023384279,0.8537500371746949,0.7553749508270057,0.048360674426875194,0.0913897363745388,0.017316017316017313,0.7565012041109733,0.7937551699519255,0.8347283994544271,0.7521778921778923,0.047252813815903495,0.1154663665301963,0.017316017316017313,0.7553190690690691,0.8002723968714781,0.8438459202842765,0.7509526669526672,0.04449078694338075,0.09798290892515814,0.017316017316017313,0.7583273700389779,"('mlp', '50-50-300-mean')",0.9138975615989664,0.7243107769423559
female,"('mlp', '100-100-300-mean')",0.9235661638651108,"('lr', '0')",0.15670205677128857,0.9210084033613446,0.9123394639457996,0.9125435372416968,0.9134632341455152,0.9235661638651108,0.15670205677128857,0.14457849545724732,0.14178645317998828,0.1445341190558842,0.14704090467519992,0.6945419372010869,0.6813835455654198,0.6830683067269032,0.6834716956655258,0.6935875915226402,0.764306346590056,0.8314123720064314,0.6553797137630307,0.22646646616025765,0.25018263207796443,0.19534574816704967,0.4948814079466041,0.7677609684885522,0.8199498116585013,0.6766199277590612,0.2309559183803797,0.2500069381731051,0.19709174800975246,0.5072327470626457,0.7707570840617085,0.8279557393663944,0.6855542728687747,0.22947523051479352,0.24836693686800904,0.1975636398591316,0.5103751552115873,0.768929115089631,0.8200493869992009,0.6826076021332235,0.22999153847998946,0.2502147918164763,0.19688726154168815,0.5139894938000837,0.7765252591899109,0.8316260637678285,0.6848314679431671,0.2299785723424706,0.2490314067686883,0.1948990764959332,0.5087098941168631,"('lr', '0')",0.6945419372010869,0.4189551030574755
lay_eggs,"('lr', '0')",0.90749984204208,"('lr', '0')",0.12022758635569819,0.90749984204208,0.8638040548189349,0.8683041558769343,0.8701077800839732,0.87538422014212,0.12022758635569819,0.0731370035552934,0.0851381129774812,0.07897710053084317,0.08692120396753233,0.7607273755982247,0.704241065677933,0.7094378644160346,0.7147461593821254,0.7190666330931759,0.7872722556863818,0.9417184265010352,0.6878799064845578,0.14677246644385528,0.18639455782312925,0.1238095238095238,0.5598664844674811,0.7906670512636415,0.8661564248271002,0.7046504201899473,0.15956298914100192,0.19187755102040813,0.13496491228070176,0.5745243319333718,0.7831660428994531,0.8528922015182884,0.6979601104209799,0.15886629146089967,0.20162871464375226,0.13786191721675595,0.5591429479704672,0.79113067955313,0.8799232491426755,0.7036972055121578,0.15536162070184772,0.19187755102040813,0.13266666666666665,0.5719270280983781,0.7884630161745877,0.8596341589435209,0.707870041354369,0.15631758704894422,0.1994946294307197,0.13496491228070176,0.5669125523142815,"('lr', '0')",0.7607273755982247,0.4852130325814536
ceiling-lay_eggs,"('mlp', '50-50-300-mean')",0.9425487938898882,"('mlp', '100-100-300-mean')",0.22600241686315292,0.90749984204208,0.9392166082558444,0.9425487938898882,0.9294731284077647,0.9364082615128918,0.1803103803147219,0.2232114145748889,0.2257031839610827,0.21401375966179648,0.22600241686315292,0.7520002488677122,0.7632827595970963,0.7666747710557322,0.755379532510947,0.7632561845732282,0.7271894617273581,0.8248484848484849,0.6263925860199152,0.15549959317436785,0.19336219336219332,0.11757105943152454,0.5168979503315613,0.7160051936809555,0.7883448034322738,0.5517130614657211,0.17593384865874806,0.21438870459250894,0.1401662457912458,0.5638675194196693,0.7168456099288055,0.7954219803092375,0.5651612249762386,0.17587402283415599,0.20322904249534685,0.13764309764309762,0.5702456888800955,0.7154593687459683,0.7908068693520821,0.5634240824903185,0.17409359589681772,0.20900603472614346,0.13764309764309762,0.5719147930463339,0.7104058446497389,0.7932969661420665,0.5433091245142421,0.17315207693966364,0.20676394509274945,0.13447811447811447,0.5651083665705718,"('mlp', '50-50-300-mean')",0.7666747710557322,0.4981167608286253
used_in_cooking,"('lr', '0')",0.9033972563384328,"('mlp', '100-100-300-mean')",0.15637772221521007,0.9033972563384328,0.8685945346273544,0.8850051436943478,0.8689472651682404,0.894680559712441,0.12696099535259842,0.13893660778460026,0.15012067880739322,0.13814629812217216,0.15637772221521007,0.7957938603485528,0.7587189741743441,0.7758643060931357,0.759399156608253,0.7869824899228629,0.7764362609858344,0.9021018320782284,0.6609949190594351,0.10760339598988003,0.19669428439248013,0.03225806451612903,0.5701933896840666,0.7296579268427541,0.8594133578193509,0.6009386643645949,0.10987556045301025,0.17955589360284346,0.032258064516129024,0.5571643754053079,0.7348844648869546,0.8573069549450558,0.6183491331778452,0.10914083760121203,0.18045442695085448,0.03125,0.5614156484390778,0.7308009670460682,0.8624040794062559,0.5829936475273336,0.10954810855998745,0.18190201888428625,0.03125,0.5547901228882121,0.7383028374972309,0.8766572755093627,0.6016141053288884,0.10769806978957812,0.17684372926445352,0.03024193548387097,0.5448846424724761,"('lr', '0')",0.7957938603485528,0.5060088551549652
ceiling-used_in_cooking,"('lr', '0')",0.9421662047758248,"('mlp', '50--300-mean')",0.1918980662732671,0.9421662047758248,0.9303060340089616,0.9326046443346072,0.9169398981135548,0.9149658298569824,0.18068271569162342,0.1918980662732671,0.18907214003529937,0.17813799674349562,0.16909929144220637,0.819730081434626,0.8078050364917857,0.8094696930975983,0.7949264724852065,0.7930196026822215,0.7614834890842014,0.8435147310102004,0.7162944582299421,0.1224361233411988,0.15264931708182347,0.09833031921604912,0.5426336031865046,0.7384079677356945,0.8237455325344492,0.6847992563385107,0.12250099751717589,0.15026418242491654,0.09833031921604914,0.5412514816877999,0.7435325042993078,0.8220638632057495,0.6957449020018285,0.1231349512370089,0.15446375602521314,0.09934902442857163,0.5463576601376212,0.7388019013700592,0.8222278984118501,0.6918391363511853,0.12201342562834823,0.15008342602892102,0.09833031921604914,0.5499104515542926,0.745866538414776,0.8190724197311443,0.7041270132740968,0.12194622717476085,0.15226833765520498,0.09833031921604914,0.549818164835866,"('lr', '0')",0.819730081434626,0.5060088551549652
wings,"('mlp', '100--300-mean')",0.8898565083159893,"('mlp', '100--300-mean')",0.11491118162318548,0.8879297173414821,0.8822329085880953,0.8765145787983434,0.8898565083159893,0.8784864719812955,0.09773750643647838,0.10604332895559265,0.09844822449822266,0.11491118162318548,0.09267926520699099,0.676477040061574,0.6711874652402918,0.663559238463052,0.6793685062895967,0.6670463080109537,0.7901922109050037,0.9053854349245628,0.6239969637822599,0.211452677279908,0.2675666883539362,0.16091644204851752,0.4920665564635103,0.7761895796325027,0.9225835216653064,0.6296369530427475,0.21104544334780356,0.2749107313323319,0.15437171397483698,0.5083677198739498,0.7780663543001207,0.9168209530015072,0.6275449164911002,0.21295534033529134,0.267221668162806,0.1552714258439698,0.5165383690607882,0.7749453266928038,0.9340235015547496,0.6238454928012992,0.21048800202639267,0.27079158839038336,0.1546184589645878,0.5005226216153549,0.7858072067743045,0.9187657332229934,0.6368264341938837,0.21144016397034177,0.2697763005501163,0.15551817083372066,0.5095152440471921,"('mlp', '100--300-mean')",0.6793685062895967,0.40918390543305294
ceiling-wings,"('lr', '0')",0.8523415977961432,"('mlp', '50-50-300-mean')",0.11058005054059528,0.8523415977961432,0.8421917853028777,0.8384757578887069,0.8330018634198476,0.8363862765533152,0.07806320360586316,0.11036299246306491,0.11058005054059528,0.09571406821764827,0.10259259758486472,0.6482806345360868,0.6334320596830516,0.6300781158577604,0.627633655241765,0.6307216451525857,0.77427839419028,0.8523415977961432,0.6828431521639953,0.20406096326005638,0.2654931275620931,0.1360948191593353,0.5317372292935174,0.7318287928398128,0.8047253698282203,0.615296095493442,0.20875972561982614,0.2621683705821637,0.1329106549364614,0.5124802323546399,0.7278957073481116,0.7992697606147628,0.6145828622401152,0.2083976420309464,0.2617498895452177,0.1391984856242921,0.5131523798357669,0.7372877952021993,0.8209706571495945,0.6288118119975262,0.20536820817808263,0.2617498895452177,0.13074780058651028,0.512075227512751,0.7337936789684505,0.8027879157293881,0.6300093856464251,0.2056646314007295,0.2617648160762732,0.13399208211143696,0.5091338335240606,"('lr', '0')",0.6482806345360868,0.40634249471458783
wheels,"('mlp', '100--300-mean')",0.8662121978225139,"('mlp', '100--300-mean')",0.16233830448247488,0.8276315789473683,0.8648081849166862,0.8653776833496918,0.8662121978225139,0.8544945258894356,0.11591530733933109,0.15737945323191038,0.152113567683146,0.16233830448247488,0.1297935314851859,0.7485757161857742,0.7801393263488999,0.7811037220345767,0.7824286466796408,0.7739572455495426,0.7117162716080372,0.7764282501124606,0.6655701754385964,0.07905586276159408,0.12014443593390962,0.038510911424903725,0.6324840443326207,0.7074287316847758,0.779478576507439,0.6698896342029326,0.0846688585677863,0.13000818561794175,0.0526315789473684,0.6314744561292931,0.7132641156665458,0.7736995281956177,0.6719833527423954,0.08427396131511514,0.13097713097713098,0.0526315789473684,0.6294808182366094,0.703873893340039,0.7715820776092424,0.6618464152489592,0.08378355114287306,0.12231097494255393,0.0526315789473684,0.6391157340758619,0.7247009944042497,0.7768002920289374,0.6779345359884411,0.08053728033989302,0.11430358767971095,0.04417270039863108,0.6322546721993664,"('mlp', '100--300-mean')",0.7824286466796408,0.6251993620414672
ceiling-wheels,"('mlp', '100--300-mean')",0.960684512983682,"('mlp', '100--300-mean')",0.2102068228160513,0.9453518854607784,0.9579254824626876,0.9366977251741794,0.960684512983682,0.9509156730209364,0.1956268438722173,0.2020939289402216,0.17613726883934266,0.2102068228160513,0.19164844820902238,0.8840040751979643,0.8970918773365207,0.8723139021460792,0.9005256916003348,0.8905890366415631,0.7497250415885611,0.8518838078803566,0.6655701754385964,0.061347810262814065,0.10600029485478403,0.02631578947368421,0.6284153784811679,0.755831553522466,0.8594197584124244,0.6741371713082239,0.06083360512616688,0.10770509160602043,0.02631578947368421,0.6328763455427909,0.7605604563348367,0.8342714851090254,0.6859343945528156,0.06438382302810022,0.11682861342304067,0.02631578947368421,0.6278958566570317,0.7504776901676307,0.8552041990221454,0.6839438412464728,0.060158821383347195,0.1077050916060204,0.02631578947368421,0.6264418094063402,0.759267224811914,0.8429801069304672,0.6892040853882959,0.06032663637937331,0.11112808759867583,0.02631578947368421,0.6374085887309159,"('mlp', '100--300-mean')",0.9005256916003348,0.6251993620414672
