word,include
hermaphrodite
epicene
cleaning_woman
crown_princess
girl_wonder
flibbertigibbet
bondswoman
little_girl
prince_consort
gynandromorph
slavey
foolish_woman
materfamilias
call_girl
shop_girl
adult_female
enchantress
female_child
leading_lady
matriarch
androgyne
drum_majorette
goddaughter
prima_ballerina
foster_sister
charwoman
traitress
hatcheck_girl
co-ed
char
masseuse
danseuse
homegirl
gitana
canary
skivvy
soprano
tribade
comedienne
lesbian
queen_regnant
enlisted_woman
spokeswoman
prima_donna
poster_girl
amah
majorette
intersex
bondmaid
college_girl
sis
confidante
girl_Friday
female_monarch
inheritrix
female_offspring
newswoman
testatrix
epicene_person
usherette
inheritress
Parisienne
gay_woman
bondwoman
cleaning_lady
kinswoman
check_girl
foster-sister
