property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
female,"('lr', '0')",0.9569044639132248,"('lr', '0')",0.17522349098595158,0.9569044639132248,0.9517165100839424,0.9484609482564752,0.9550500444781812,0.9506208574501678,0.17522349098595158,0.17173220639848696,0.166142445456393,0.172389010705725,0.1696203450610314,0.7505568877187239,0.7431700412671932,0.738922326053285,0.7480763651948932,0.7436695906282564,0.7816809729272732,0.901536252916072,0.6746788375450209,0.20634757619450098,0.2562125006826924,0.15056549133174188,0.4951939902977694,0.7799843036854555,0.8690027379759,0.6783577792870741,0.20854646881674924,0.2605529592687089,0.15261956537929466,0.5238299359854974,0.7823185028000822,0.8759127795587418,0.6873661396033055,0.20953862220319017,0.2590776424183498,0.1550487545394618,0.5174778905495216,0.7826610337724562,0.8650820658621245,0.6822856155584944,0.20697367928328805,0.2578048770936004,0.15402171751568536,0.5158368761818689,0.7810005123891364,0.8759080805075061,0.6825604642165971,0.20695126682191128,0.25812005000925103,0.15600658986360122,0.5213630768063215,"('lr', '0')",0.7505568877187239,0.4189551030574755
used_in_cooking,"('mlp', '50-50-300-mean')",0.9332941448067096,"('mlp', '100--300-mean')",0.15513283052985039,0.9207812157120912,0.9299484636654756,0.9332941448067096,0.9300275944118735,0.9332932827661414,0.11980341818889795,0.15129065487678683,0.14835983822759213,0.15513283052985039,0.150053926048746,0.7963979234619177,0.8101334533507688,0.8134408171092922,0.8113226207856763,0.8172260774852089,0.8009777975231932,0.9021018320782284,0.6741760168302946,0.12438329225017339,0.15264931708182347,0.09609650311737598,0.5449824153442917,0.7786578087886887,0.8604929661107953,0.68251484806647,0.11981501031470679,0.14075404576421885,0.09609650311737596,0.542501915876432,0.7849343065791174,0.8555087791622025,0.7024244937618105,0.11985332769741745,0.14152426856652572,0.10493957455062117,0.5599094552227861,0.7748947638820232,0.8549930560098911,0.680701371954785,0.11870497362619728,0.14075404576421888,0.09609650311737596,0.5465847019659978,0.7832393567173954,0.8636452077570815,0.7019804842107922,0.11606720528093255,0.13604494989848867,0.09738785391798542,0.545510774960029,"('mlp', '100-100-300-mean')",0.8172260774852089,0.5060088551549652
ceiling-used_in_cooking,"('lr', '0')",0.9673672773594096,"('mlp', '100--300-mean')",0.18144985340311193,0.9673672773594096,0.9593734380168794,0.959452913299302,0.9641636115571672,0.9562072380270832,0.15851856564213263,0.18094580063397936,0.17962425427001838,0.18144985340311193,0.1737331743237287,0.8484572663369232,0.836673842818798,0.8366493721410062,0.8430958261624175,0.8341504992739814,0.808848711717277,0.8809588231167765,0.6878750248831674,0.11891001102248648,0.16129032258064516,0.0760103819058213,0.5631801517219873,0.7784276373829,0.8409970685319665,0.6568125922971466,0.12269959519808141,0.16094086021505374,0.07654392680320182,0.5433633815373312,0.7798286590292837,0.8604955037050862,0.6658881197722132,0.12280354115829586,0.16478494623655915,0.0801541473096469,0.5509340189327414,0.7827137581540553,0.8441145533708883,0.6586040675374598,0.12106778539474972,0.16338709677419355,0.07045000981482694,0.5502408000684738,0.7824740637033545,0.8723975853477028,0.6800993532603454,0.12205673875310179,0.1586693548387097,0.07539940892931142,0.5458338820858515,"('lr', '0')",0.8484572663369232,0.5060088551549652
square,"('mlp', '100-100-300-mean')",0.9040504826121264,"('lr', '0')",0.08380427606865792,0.8981481481481481,0.8883891051699271,0.8812653691430461,0.8967651025870204,0.9040504826121264,0.08380427606865792,0.0603956051025516,0.04876368722821445,0.07116789111145339,0.06690621759465742,0.8574534257902633,0.8434876743028366,0.8367629844400257,0.8546954280072826,0.8609553318911014,0.8143438720794902,0.861169837914024,0.7654834761321909,0.04069472235788481,0.08285512936675726,0.008456659619450316,0.7539872408293461,0.8279935000673755,0.8644515551492296,0.7898636301818677,0.04490143086709048,0.08984894444955109,0.008456659619450316,0.7516797986457323,0.8325016819148316,0.8811668246295433,0.7789523205190282,0.044502384703020335,0.09218021614381572,0.008456659619450316,0.7522841477349407,0.825597211475567,0.8648663284403801,0.7884434049622426,0.04206967457973779,0.08518640106102186,0.008456659619450316,0.7561400326156591,0.837144265017469,0.8949333810047054,0.7946370782489394,0.043095150721024954,0.08984894444955112,0.008456659619450316,0.7518236714237226,"('mlp', '100-100-300-mean')",0.8609553318911014,0.7304710793082886
ceiling-square,"('lr', '0')",0.9490740740740742,"('lr', '0')",0.1699224962566458,0.9490740740740742,0.9490740740740742,0.9488333869773192,0.9490740740740742,0.9461965545869656,0.1699224962566458,0.16224526691623176,0.16040362994113522,0.16205794935641038,0.1486246312453956,0.9170421594324298,0.9136359267077176,0.9138810929357392,0.9127910288395882,0.91209935898876,0.7791515778174284,0.8241126070991432,0.7304710793082886,0.03203191464164436,0.07305358948432761,0.0,0.7591507177033493,0.7868288071578424,0.8207782132191515,0.74596333430357,0.035438147366356476,0.08498789717192143,0.0,0.7522054103654681,0.788429757036184,0.8219544948308716,0.7610959039600411,0.034952294041580026,0.07352958298863252,0.0,0.7520263991132772,0.7870161247176638,0.8176742949692765,0.7534765982012004,0.03628304523448602,0.09015250001094287,0.0,0.7563826930587926,0.79757192334157,0.8426356276888629,0.7687295989743971,0.034097195598205524,0.08414080863524746,0.0,0.7554652951437378,"('lr', '0')",0.9170421594324298,0.7304710793082886
lay_eggs,"('lr', '0')",0.8957637997432606,"('lr', '0')",0.1492140659776826,0.8957637997432606,0.8602699760658682,0.8475373753332678,0.8730624732563115,0.8666961728900112,0.1492140659776826,0.1285519372273638,0.10991101782120272,0.1423680335469577,0.12170392238496242,0.7474220720726292,0.7007581571452474,0.6842376155692242,0.7123412535328639,0.7088110073044103,0.746549733765578,0.8581272302202534,0.5803030303030303,0.1483417276706313,0.18639455782312925,0.1238095238095238,0.551139204222711,0.7317180388385044,0.8242294524470287,0.5941112355215964,0.15951181892062083,0.21621894920644333,0.1238095238095238,0.5342483677125577,0.7376263575120651,0.8344701701833988,0.5826174328380751,0.16329975976404357,0.22276584204723934,0.12676190476190474,0.5371267760578028,0.7306944397093538,0.8161888059661567,0.5847104068302958,0.16072121972344758,0.2198053752027191,0.1238095238095238,0.5425732879905109,0.7449922505050488,0.8434737060041406,0.5925432510185856,0.157885165585601,0.2013067200744944,0.12676190476190474,0.5406213438281939,"('lr', '0')",0.7474220720726292,0.4852130325814536
ceiling-lay_eggs,"('mlp', '100--300-mean')",0.9366300366300366,"('mlp', '100--300-mean')",0.16302719719962333,0.9333333333333332,0.9333333333333332,0.9331868131868132,0.9366300366300366,0.9160036630036632,0.1399188544277914,0.15892570642855108,0.15778021171248735,0.16302719719962333,0.14804198062068163,0.777238527245982,0.7564152018639354,0.7607235112649644,0.7669801294245757,0.750153828837598,0.7934144789055418,0.8558730158730159,0.7142857142857143,0.15609480608735127,0.2020425741355974,0.1087108013937282,0.5443031101859559,0.7744076269047822,0.8642956733311283,0.6948973084886129,0.17691813146939778,0.2191794160509636,0.14779789264269086,0.542243915797294,0.7754066014743258,0.8814875722233703,0.6972880385725899,0.17246330192184883,0.2215139237437284,0.14140328425852705,0.5326057925318104,0.7736028394304133,0.8813502428947665,0.6911914423740508,0.16964990720546091,0.21621894920644336,0.1382059800664452,0.5374391053203843,0.7679616823829816,0.8701052479179063,0.6934309312874036,0.16584983416606522,0.21092397466915824,0.1382059800664452,0.5322861454240781,"('lr', '0')",0.777238527245982,0.4852130325814536
wings,"('mlp', '100-100-300-mean')",0.8259094219270434,"('lr', '0')",0.06754151145702025,0.8247309093991015,0.8126459266738184,0.8258318687457441,0.8169906652441948,0.8259094219270434,0.06754151145702025,0.04835992641955045,0.06177714661814837,0.05113340278019396,0.05361271843963544,0.6219878596318971,0.6077790623791105,0.6197287726112672,0.6122940810935305,0.6206501364531254,0.7571893979420813,0.8664618984934913,0.6503430531732418,0.20274304976720453,0.24345270090971566,0.1532116713063202,0.5107435847699514,0.764286000254268,0.9375612257026968,0.672313680747586,0.20486686429470788,0.2511171525096389,0.1666014346103108,0.5050023458788921,0.7640547221275957,0.9279458105664536,0.6655485740855035,0.20610309613447692,0.2466382861496468,0.1733970106059552,0.5069946656935508,0.7658572624640009,0.9372595284388192,0.669350118627948,0.20469658415066436,0.2481153986695779,0.16887006407358945,0.5102130406457664,0.772296703487408,0.9282493978724756,0.6665144330000272,0.20525928547391808,0.2413801608189195,0.17188202201595387,0.5059373913295533,"('lr', '0')",0.6219878596318971,0.40918390543305294
ceiling-wings,"('mlp', '100-100-300-mean')",0.9499337414021582,"('mlp', '100-100-300-mean')",0.17191440430398242,0.9123654546995508,0.9411024845159812,0.941126114473552,0.9455417429166404,0.9499337414021582,0.12940864188660772,0.16218888596746295,0.17092339782441046,0.16808656688650647,0.17191440430398242,0.6995835536237145,0.7252107935612385,0.723519452110037,0.7291504519074435,0.7354004297899532,0.782956812812943,0.8684919846786778,0.6503430531732418,0.21278190107583633,0.2713681822868337,0.14917452830188682,0.5244929109393207,0.7789135985485183,0.8684455325676546,0.645250512407572,0.21589169095474267,0.28720908109365834,0.17397948934360907,0.5119788301076982,0.7702027166491415,0.8628268584788639,0.6353036505544902,0.21760666236351506,0.2843676409935624,0.17670174576644065,0.5046250968598438,0.7774551760301339,0.8572107586793921,0.6452778676522829,0.21639129100919688,0.2893887600310551,0.17807099944536114,0.4953590180316772,0.7780193370981758,0.8722168466057794,0.6413419972087404,0.214533311612205,0.28460852289708705,0.16651611880802258,0.50940552631164,"('mlp', '100-100-300-mean')",0.7354004297899532,0.40918390543305294
sweet,"('lr', '0')",0.7861702956502611,"('mlp', '50--300-mean')",0.0515397764917942,0.7861702956502611,0.7771549052029408,0.7738916954492137,0.7792567402435153,0.7738180021339136,0.04047574457983627,0.0515397764917942,0.03945309492843818,0.05115734595126986,0.04031871103424145,0.6321234816955869,0.6205783992199092,0.6175642860467044,0.6230943365307774,0.6183026105494195,0.7456945510704248,0.8255697720911636,0.6429684823156402,0.1540468139546742,0.19608260591867152,0.08375920886706048,0.5143204529970846,0.7256151287111466,0.7975023432480021,0.6670169731042368,0.15657650598303166,0.1949017239867837,0.08438255148843124,0.5169221513636331,0.7344386005207755,0.8130276033269984,0.6607619704385768,0.15632740940250922,0.19671148689703544,0.08521200952091353,0.5045664207435974,0.7280993942922455,0.8067138689739364,0.6747822173054947,0.15616240371273793,0.19454134194421005,0.08624758296450727,0.5139991258155326,0.7334992910996722,0.7942724636145794,0.6735613219259152,0.15551539158449415,0.19377382406293947,0.0879064990294718,0.5091974965347406,"('lr', '0')",0.6321234816955869,0.4380598276153457
