property,top_clfs,top_clfs_f1,top_select,top_select_f1,"('lr', '0')","('mlp', '50--300-mean')","('mlp', '50-50-300-mean')","('mlp', '100--300-mean')","('mlp', '100-100-300-mean')","select-seed-mean-('lr', '0')","select-seed-mean-('mlp', '50--300-mean')","select-seed-mean-('mlp', '50-50-300-mean')","select-seed-mean-('mlp', '100--300-mean')","select-seed-mean-('mlp', '100-100-300-mean')","select-rand-no-dist-mean-('lr', '0')","select-rand-no-dist-mean-('mlp', '50--300-mean')","select-rand-no-dist-mean-('mlp', '50-50-300-mean')","select-rand-no-dist-mean-('mlp', '100--300-mean')","select-rand-no-dist-mean-('mlp', '100-100-300-mean')","random-seed-mean-('lr', '0')","random-seed-max-('lr', '0')","random-seed-min-('lr', '0')","rand-no-dist-mean-('lr', '0')","rand-no-dist-max-('lr', '0')","rand-no-dist-min-('lr', '0')","random-vecs-('lr', '0')","random-seed-mean-('mlp', '50--300-mean')","random-seed-max-('mlp', '50--300-mean')","random-seed-min-('mlp', '50--300-mean')","rand-no-dist-mean-('mlp', '50--300-mean')","rand-no-dist-max-('mlp', '50--300-mean')","rand-no-dist-min-('mlp', '50--300-mean')","random-vecs-('mlp', '50--300-mean')","random-seed-mean-('mlp', '50-50-300-mean')","random-seed-max-('mlp', '50-50-300-mean')","random-seed-min-('mlp', '50-50-300-mean')","rand-no-dist-mean-('mlp', '50-50-300-mean')","rand-no-dist-max-('mlp', '50-50-300-mean')","rand-no-dist-min-('mlp', '50-50-300-mean')","random-vecs-('mlp', '50-50-300-mean')","random-seed-mean-('mlp', '100--300-mean')","random-seed-max-('mlp', '100--300-mean')","random-seed-min-('mlp', '100--300-mean')","rand-no-dist-mean-('mlp', '100--300-mean')","rand-no-dist-max-('mlp', '100--300-mean')","rand-no-dist-min-('mlp', '100--300-mean')","random-vecs-('mlp', '100--300-mean')","random-seed-mean-('mlp', '100-100-300-mean')","random-seed-max-('mlp', '100-100-300-mean')","random-seed-min-('mlp', '100-100-300-mean')","rand-no-dist-mean-('mlp', '100-100-300-mean')","rand-no-dist-max-('mlp', '100-100-300-mean')","rand-no-dist-min-('mlp', '100-100-300-mean')","random-vecs-('mlp', '100-100-300-mean')",top_select_rand,top_select_rand_f1,control-majority
wings,"('mlp', '50-50-300-mean')",0.928294610049718,"('mlp', '100--300-mean')",0.10269694637056204,0.8995666642725466,0.9181160592166284,0.928294610049718,0.9262652333121149,0.9262652333121146,0.04625783279388873,0.09938948672310877,0.09741024277713661,0.10269694637056204,0.09063186873755091,0.6659385901359901,0.6799860732481535,0.6918414482613066,0.6874175371885378,0.6891339992248205,0.8533088314786579,0.9414495391967229,0.7267610748002905,0.23362807413655648,0.3020442219440968,0.10262828535669588,0.5022154645144359,0.8187265724935197,0.92964624083769,0.6823601847124918,0.23812998596847496,0.3097982990867965,0.10262828535669588,0.4935150292869687,0.8308843672725814,0.921733158557092,0.703919999349522,0.2364531617884115,0.3022681770837109,0.10262828535669588,0.5057800946995417,0.8235682869415528,0.9295948381895348,0.6957888386123681,0.23884769612357704,0.3133501333090442,0.10262828535669588,0.5158346751774621,0.8356333645745637,0.9178497834105102,0.7099735338355515,0.23713123408729406,0.3092697857946872,0.10529922125413796,0.5079750685034149,"('mlp', '50-50-300-mean')",0.6918414482613066,0.4122549019607843
ceiling-wings,"('mlp', '50--300-mean')",0.9804380231624812,"('mlp', '50--300-mean')",0.13965961387096948,0.9605042016806722,0.9804380231624812,0.9784634789588348,0.978472652218782,0.976496511643726,0.11013391592936461,0.13965961387096948,0.1316087951969851,0.137831965207859,0.1248505720489167,0.7439335819463373,0.7562845555196165,0.7569965843874268,0.7569311359243611,0.7547379028507295,0.8503702857513076,0.9215686274509804,0.8025210084033614,0.21657061973433495,0.28594771241830064,0.16693899782135074,0.5064218802505625,0.8407784092915117,0.8867213366901192,0.7724977375565609,0.2241534676428647,0.2907461035696329,0.1723323205164637,0.5061170817978395,0.8468546837618497,0.8825644602815945,0.7811875043308549,0.221466894571408,0.2875197655427834,0.1740545500251382,0.5110757341633965,0.840640687010923,0.8867487827693521,0.7826827844282155,0.22154151629442093,0.28954650578179986,0.16825149918756055,0.5206725648728637,0.8516459395948093,0.8865934501608486,0.8045479430077327,0.2217586087929965,0.2877471091000502,0.1728538811288172,0.5099194690663544,"('mlp', '50-50-300-mean')",0.7569965843874268,0.4122549019607843
female,"('lr', '0')",0.8957157784743993,"('lr', '0')",0.055326266810247327,0.8957157784743993,0.8782889056153251,0.8887441719751848,0.8675084478024843,0.88035239834847,0.055326266810247327,0.04435286938978056,0.05017725471111978,0.034811128683686854,0.03737728727318301,0.6865053830861056,0.667906248929066,0.679001330468112,0.6587082318534134,0.6724494207472781,0.840389511664152,0.8965617715617715,0.7997150997150997,0.20921039538829372,0.2474273662775899,0.1838296789207665,0.4913832816564356,0.8339360362255446,0.8671910031234974,0.7722450340658796,0.21038265668625913,0.25212290355140443,0.18360097217888396,0.4992975573424145,0.8385669172640651,0.8757380854211949,0.7784017876612432,0.20974284150707287,0.24851636849341985,0.18625009276393936,0.4942202374455728,0.8326973191187974,0.8696345751886174,0.7711242853301703,0.2088002159490708,0.2495617760674929,0.18061561917054764,0.4943525735899762,0.842975111075287,0.8849843985485153,0.7811452081603429,0.2079029776011919,0.2489721029582986,0.18131999160275414,0.4895929586815061,"('lr', '0')",0.6865053830861056,0.4298245614035087
used_in_cooking,"('mlp', '100-100-300-mean')",0.8919673423828547,"('mlp', '100--300-mean')",0.07426941131946596,0.8809716599190284,0.8784696752425285,0.8784496174699198,0.8891384979473621,0.8919673423828547,0.03896276447942448,0.06526745659536226,0.05862494046346334,0.07426941131946596,0.07086703141926576,0.7828439045202464,0.7794898467423286,0.779797586558419,0.7907029776723338,0.7943435163628089,0.8420088954396039,0.9333333333333332,0.7176960970064419,0.09812775539878196,0.16666666666666666,0.04166666666666667,0.5815121326391434,0.8132022186471662,0.8578347578347578,0.7194958263623279,0.09897982850019987,0.14899225093422352,0.057530589543937714,0.5871554367488173,0.8198246770064564,0.8827379023225083,0.7464092877298562,0.09865203091150074,0.1535393005660896,0.05824063774564332,0.5802580189454234,0.8148690866278961,0.8684500438296807,0.7167034614560853,0.09843552027502836,0.14758691961370865,0.05981460882461996,0.5820249122417334,0.8211003109635889,0.8852193118912168,0.7293225064399464,0.09762382602004585,0.14596852275870634,0.056172599184278825,0.5978887860977848,"('mlp', '100-100-300-mean')",0.7943435163628089,0.5333333333333333
dangerous,"('lr', '0')",0.8280377938914523,"('mlp', '50-50-300-mean')",0.029415051468519637,0.8280377938914523,0.7957200785257861,0.8164319617220649,0.7971688314331253,0.8118688886180594,0.017690566966608534,0.005778935099522542,0.029415051468519637,0.01208219237493624,0.02379958519954628,0.667279805762407,0.6349968616330379,0.6545208033209824,0.6371748995125,0.6512990502027346,0.8103472269248437,0.932517423083461,0.6982101718943825,0.1607579881290453,0.2015810276679842,0.11780321884851502,0.5184689536481689,0.7899411434262635,0.897961679923081,0.6787934952528738,0.16072321689274816,0.20198099002446826,0.12697741903147858,0.4740784711084179,0.7870169102535453,0.888318165393345,0.6717778389134106,0.16191115840108253,0.20158290984377936,0.12853043047996046,0.4827349559929306,0.7850866390581891,0.9070069520379768,0.6563319591301987,0.15999393192062533,0.20206098249576504,0.1279300676232888,0.4873215710309814,0.7880693034185131,0.8937487815894526,0.6810128955439982,0.16056983841532482,0.20198099002446826,0.12878772884710538,0.4718344575545813,"('lr', '0')",0.667279805762407,0.3968253968253969
ceiling-dangerous,"('lr', '0')",0.9020889251954721,"('mlp', '100--300-mean')",0.06908220932003906,0.9020889251954721,0.8698346872650605,0.859883388490298,0.8697104612464328,0.8749101636724409,0.04009824804655626,0.06756789953221143,0.03663505291517133,0.06908220932003906,0.046691580580157765,0.7263020279009466,0.702944846212213,0.6937036733160176,0.7046105106833066,0.709154296980693,0.8619906771489159,0.9552406657669816,0.8160597572362278,0.17578689729452554,0.22453131013249766,0.06851119894598155,0.4790465366456028,0.8022667877328491,0.9232635460981482,0.7297285624062877,0.16688984105284752,0.21292415987737626,0.06851119894598155,0.4716560888846358,0.8232483355751267,0.9372356656602232,0.7734266521946273,0.16617971517428048,0.21256190333383315,0.06851119894598155,0.480414859655356,0.8006282519263938,0.9140755010775976,0.7490888874202634,0.16509995056312618,0.20991592942470136,0.06805006587615284,0.4864037021273329,0.8282185830922831,0.9253956913675486,0.779694225734414,0.1657558666917479,0.2116011729228104,0.06805006587615284,0.4743503899202481,"('lr', '0')",0.7263020279009466,0.3968253968253969
fly,"('lr', '0')",0.8206872492586779,"('mlp', '50-50-300-mean')",-0.0794843999318594,0.8206872492586779,0.7760524781633829,0.7965239374478988,0.7790902760339127,0.7890910082559408,-0.08147517660861203,-0.08937515537214624,-0.0794843999318594,-0.08595670397637023,-0.08952433119759351,0.6747116361461211,0.6084768888140111,0.6325125684880057,0.6131703749431124,0.6294575157306694,0.9021624258672899,0.9794396080110366,0.8115511972723609,0.14597561311255683,0.1708006279434851,0.1365005018400803,0.5862193498354223,0.8654276335355291,0.9397520638738436,0.7600339948693108,0.16757558934937172,0.1944794345150453,0.13913618368030306,0.5544797247032861,0.8760083373797583,0.9337511274170586,0.8045840938883511,0.16401136895989304,0.190724618064878,0.14177186552052584,0.562471086480888,0.8650469800102829,0.9397520638738436,0.7558916086349238,0.1659199010908002,0.1944794345150453,0.13650050184008028,0.560418046486822,0.8786153394535343,0.9437099399666786,0.7814200624950411,0.15963349252527143,0.17714584734992894,0.13913618368030306,0.5507897194796751,"('lr', '0')",0.6747116361461211,0.5159989921894683
ceiling-fly,"('lr', '0')",0.958526592455164,"('mlp', '50--300-mean')",0.18431615582838512,0.958526592455164,0.9543715296098544,0.9436563474910692,0.9563923064520596,0.9499894484427468,0.1688387052892787,0.18431615582838512,0.15864543945420462,0.18303999966777007,0.1545139057922601,0.7952271786716977,0.7701961247300435,0.7698143004597852,0.7761759613048829,0.7781418718389131,0.7896878871658853,0.8580498866213152,0.6959183673469387,0.16329941378346635,0.1969035890218156,0.1365005018400803,0.5477783564272458,0.7700553737814693,0.8591670347792798,0.7194365848680239,0.18417540487981085,0.22204480717499714,0.15102179411662794,0.5604840894791677,0.7850109080368646,0.8655596835320336,0.7399951399564509,0.173842047031284,0.19893334673770985,0.14825612418142128,0.5479727207052016,0.7733523067842896,0.8695866908309304,0.7304135745207174,0.18021634514717683,0.20908213531718106,0.14825612418142128,0.5662772621745356,0.7954755426504867,0.8657957147818901,0.745572046043561,0.17184757660383362,0.20264697634303916,0.1454904542462146,0.5598862060842211,"('lr', '0')",0.7952271786716977,0.5159989921894683
lay_eggs,"('lr', '0')",0.8206058913862907,"('mlp', '50-50-300-mean')",-0.012949233732808652,0.8206058913862907,0.7914435292475219,0.8082242077341896,0.7979240541672483,0.8114390984989897,-0.02794384214075818,-0.013152723515112985,-0.012949233732808652,-0.013587207842869597,-0.016453730542228318,0.661606932903537,0.6113987854312546,0.6310443340696129,0.6206485538332643,0.6360722830607402,0.8485497335270489,0.9402097902097905,0.7245151208750804,0.15899895848275375,0.21055432372505545,0.11188811188811187,0.5210860297147386,0.8045962527626349,0.9037871396895788,0.7376555809297791,0.1800447438162674,0.24603957707405985,0.11188811188811187,0.5299346149678326,0.8211734414669982,0.8913821138211382,0.7292189993428002,0.17717987366457666,0.22286517045904455,0.11491602526085284,0.5423161816306195,0.8115112620101179,0.90980044345898,0.7294381147307977,0.177275500333984,0.23687905951320584,0.11188811188811187,0.5395706576988973,0.827892829041218,0.8980639793810526,0.7341630318644795,0.17536681543824953,0.24016965148672464,0.11188811188811187,0.5339162681938261,"('lr', '0')",0.661606932903537,0.4949494949494949
ceiling-lay_eggs,"('mlp', '50-50-300-mean')",0.9454374913383644,"('mlp', '50-50-300-mean')",0.07751660246884262,0.9310344827586208,0.9318796484110884,0.9454374913383644,0.9318796484110884,0.9386585698747264,0.05160326866193132,0.06939033559761043,0.07751660246884262,0.06983644326186844,0.07418787834387974,0.7824624518610085,0.772888637391194,0.7878137083972274,0.7715012697360375,0.7829343580055743,0.8794312140966895,0.9699334811529934,0.7857339829028402,0.14857203089761228,0.17767417767417767,0.11188811188811187,0.4875985330621876,0.862489312813478,0.9394342527596616,0.7469586673489113,0.15899101101989443,0.2121162666212722,0.12727272727272726,0.5339266159980317,0.8679208888695218,0.9392364344821866,0.7690180219100741,0.157623782941137,0.20504207378512165,0.12727272727272726,0.5398579358048817,0.86204320514922,0.9244955979185676,0.7468814473692522,0.1603783786750509,0.20998098194983625,0.12727272727272726,0.527152278396058,0.8644706915308467,0.9300815608799531,0.7558887941326966,0.15572421186915214,0.20504207378512165,0.1179439386335938,0.5192431423055031,"('mlp', '50-50-300-mean')",0.7878137083972274,0.4949494949494949
